Date,Open,High,Low,Close,Volume
2025-12-14,618.37,618.42,609.32,610.54,49538197.0
2025-12-15,608.26,613.51,606.9101,611.75,55152809.0
2025-12-16,613.06,613.65,600.28,600.41,70654327.0
2025-12-17,609.8,612.93,606.92,609.11,78875728.0
2025-12-18,611.95,617.62,611.87,617.05,60369829.0
2025-12-21,621.35,621.65,617.77,619.21,43694486.0
2025-12-22,618.2,622.41,617.78,622.11,41110429.0
2025-12-23,621.99,624.28,621.72,623.93,18468707.0
2025-12-25,624.66,625.515,623.14,623.89,28949540.0
2025-12-28,620.1,622.78,618.73,620.87,32697774.0
2025-12-29,619.84,622.18,619.215,619.43,31216441.0
2025-12-30,619.65,619.96,614.05,614.31,40744395.0
2026-01-01,620.06,622.85,610.15,613.12,61939468.0
2026-01-04,619.32,620.81,616.72,617.99,46825871.0
2026-01-05,619.23,624.0213,618.54,623.42,43136061.0
2026-01-06,623.04,627.94,622.56,624.02,44875959.0
2026-01-07,623.03,623.42,617.8,620.47,50427174.0
2026-01-08,621.41,627.89,619.06,626.65,49024692.0
2026-01-11,622.31,628.845,622.26,627.17,37388099.0
2026-01-12,627.27,629.47,623.695,626.24,44392176.0
2026-01-13,622.24,623.45,614.56,619.55,72698814.0
2026-01-14,626.6,630,620.75,621.78,53931998.0
2026-01-15,625.5,626.08,618.88,621.26,61476436.0
2026-01-19,610.53,615.055,607.05,608.06,81991174.0
2026-01-20,609.47,620.42,607.8635,616.28,79809657.0
2026-01-21,622.35,622.46,617.78,620.76,42247761.0
2026-01-22,619.73,625.3999,618.65,622.72,44358457.0
2026-01-25,623.21,627.61,622.12,625.46,35810259.0
2026-01-26,628.91,632.0427,627.34,631.13,39017052.0
2026-01-27,635.46,636.6,631.81,633.22,50346423.0
2026-01-28,632.65,633.67,618.27,629.43,80244890.0
2026-01-29,625.71,628.256,619.2975,621.87,65648289.0
2026-02-01,618.7,628.49,618.66,626.14,49015389.0
2026-02-02,628.3,629.98,610.96,616.52,81204321.0
2026-02-03,615.02,615.1,600.47,605.75,81915689.0
2026-02-04,600.21,604.81,594.76,597.03,89375742.0
2026-02-05,600.19,611.41,598.77,609.65,78008851.0
2026-02-08,607.54,616.46,605.07,614.32,56968231.0
2026-02-09,615.305,617.02,611.01,611.47,53924607.0
2026-02-10,616.38,617.52,607.69,613.11,58561906.0
2026-02-11,614.71,615.81,599.5699,600.64,81378904.0
2026-02-12,600.43,606.48,596.42,601.92,69277400.0
